,Title,Published_date,Views,Likes,Comments,Month
0,First Look at Analyst Builder! | The All-in-One Platform for Data Analysts | Beta Launch Coming Soon,2023-10-10,2464,269,75,Oct
1,#DataAnalysis #DataAnalyst #DataRealities,2023-10-09,4447,312,8,Oct
2,#DataAnalyst #DataCareers #DataAnalysis,2023-10-05,5023,370,13,Oct
3,"Data Analyst vs Data Engineer | Responsibilities, Salaries, Skills, Education",2023-10-03,26564,526,41,Oct
4,Data Analyst Q/A Livestream | September Livestream | Ask Me Anything!,2023-09-28,7975,273,19,Sep
5,#Salary #DataAnalyst #SalaryNegotiation,2023-09-28,7520,487,5,Sep
6,AI and Analytics with SAS | SAS Explore Recap,2023-09-26,8280,272,16,Sep
7,My Very First Video,2023-09-25,4163,229,22,Sep
8,#DataAnalyst #CareerPath,2023-09-22,7160,585,10,Sep
9,"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",2023-09-19,32757,759,51,Sep
10,#Excel #DataAnalyst #DataAnalysis,2023-09-18,8710,793,17,Sep
11,"Data Analyst vs Business Analyst | Responsibilities, Salaries, Skills, Education",2023-09-12,31931,1205,95,Sep
12,#DataAnalysis #DataAnalyst,2023-09-07,9198,684,13,Sep
13,Hard Skills vs Soft Skills in the Data World | Which is More Important?,2023-09-05,10106,540,27,Sep
14,"Entry Level vs Mid Level vs Senior Level Data Analyst | Responsibilities, Salary, Education, Skills",2023-08-29,32910,1565,115,Aug
15,#DataAnalyst #DataAnalysis #Promotion,2023-08-28,7292,448,9,Aug
16,#DataAnalyst #DataAnalysis,2023-08-24,13695,935,47,Aug
17,Regular Expression Use Cases in Python,2023-08-22,4280,119,18,Aug
18,Data Analyst Q/A Livestream | August Livestream | Ask Me Anything!,2023-08-18,8209,318,25,Aug
19,#DataAnalystSalary #DataAnalysis,2023-08-17,17872,1305,31,Aug
20,How to Work with Recruiters on LinkedIn,2023-08-15,19448,1053,68,Aug
21,#dataanalysis #dataportfolio,2023-08-14,14159,1301,18,Aug
22,#wife #careerchange #dataanalysis,2023-08-11,13629,1256,44,Aug
23,LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,2023-08-09,5599,648,40,Aug
24,Regular Expression Character Classes in Python,2023-08-08,5508,111,14,Aug
25,#Recruiters #dataanalysis #data,2023-08-03,12080,821,24,Aug
26,Regular Expression Metacharacters in Python,2023-08-01,3694,99,8,Aug
27,How much do Data Analysts make? #dataanalyst #dataanalystsalary,2023-07-31,13776,591,39,Jul
28,Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,2023-07-28,26105,1817,32,Jul
29,Regular Expression Methods in Python,2023-07-25,4308,158,8,Jul
30,What are Hiring Managers Looking For? | Nail the Interview Process!,2023-07-18,17032,800,62,Jul
31,Scraping Data from a Real Website | Web Scraping in Python,2023-07-11,77907,1826,111,Jul
32,SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-07-06,111744,3860,69,Jul
33,Find and Find_All | Web Scraping in Python,2023-07-04,13997,497,13,Jul
34,500k Livestream!!,2023-06-28,6205,387,25,Jun
35,BeautifulSoup + Requests | Web Scraping in Python,2023-06-27,24177,691,26,Jun
36,Inspecting Web Pages with HTML | Web Scraping in Python,2023-06-20,18729,610,25,Jun
37,Best Places to Find Datasets for Your Projects,2023-06-13,30774,1356,49,Jun
38,Exploratory Data Analysis in Pandas | Python Pandas Tutorials,2023-06-06,41123,1164,70,Jun
39,Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,2023-05-30,9978,361,21,May
40,What is Microsoft Fabric? | New Data Analytics Platform!,2023-05-29,129394,3354,120,May
41,Data Cleaning in Pandas | Python Pandas Tutorials,2023-05-23,82079,2473,131,May
42,The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,2023-05-16,48601,1646,51,May
43,State of AI in Analytics | Will AI be the End of Data Analysts?,2023-05-15,42372,1288,378,May
44,Google Bard Got An Upgrade! + Google's New AI Announcements!,2023-05-12,32885,796,83,May
45,Creating Visualizations using Pandas Library | Python Pandas Tutorials,2023-05-09,22143,518,21,May
46,Merging DataFrames in Pandas | Python Pandas Tutorials,2023-05-02,25375,693,26,May
47,Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!,2023-04-27,9880,338,27,Apr
48,How to Integrate ChatGPT in Jupyter Notebooks for Free!,2023-04-25,35934,939,51,Apr
49,7 Ways to Use ChatGPT for Analytics | Webinar,2023-04-18,36940,1048,33,Apr
50,Google Business Intelligence Professional Certification Review,2023-04-18,31134,947,61,Apr
51,Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,2023-04-10,125182,3703,365,Apr
52,Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,2023-04-04,19987,605,26,Apr
53,Top 5 Biggest Mistakes Beginner Data Analysts Make,2023-03-28,36440,1700,86,Mar
54,Indexes in Pandas | Python Pandas Tutorials,2023-03-21,16865,462,21,Mar
55,Create the Perfect Data Analyst Resume | Free Templates!,2023-03-14,90693,3054,182,Mar
56,Filtering Columns and Rows in Pandas | Python Pandas Tutorials,2023-03-07,25413,675,37,Mar
57,Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,2023-03-02,11077,399,33,Mar
58,Reading in Files in Pandas | Python Pandas Tutorials,2023-02-28,42104,906,46,Feb
59,Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,2023-02-21,26242,662,48,Feb
60,ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,2023-02-14,420587,8070,228,Feb
61,FREE Data Analyst Bootcamp!!,2023-02-07,575581,22302,1136,Feb
62,How to Become a Data Analyst in 2023 (Completely FREE!),2023-01-31,726838,27622,848,Jan
63,Live Portfolio Review with Alex the Analyst!  | Live Webinar,2023-01-25,16559,608,23,Jan
64,DIY Data Analyst Curriculum using Udemy (Under $75),2023-01-24,31067,1200,108,Jan
65,Reviewing Maven Analytics Free Portfolio Website,2023-01-17,19969,642,44,Jan
66,5 Study Hacks for Beginner Data Analysts! | Live Webinar,2023-01-16,44270,1336,36,Jan
67,DIY Data Analyst Curriculum using Coursera in 2023,2023-01-10,54758,2719,219,Jan
68,Building a BMI Calculator with Python | Python Projects for Beginners,2023-01-03,34689,786,54,Jan
69,"Reading, Writing, and Appending Files in Python | Python for Beginners",2022-12-27,5306,183,10,Dec
70,Why I Quit my 125k Analytics Job,2022-12-20,151293,8495,864,Dec
71,Data Analyst Q/A Livestream + Special Guest! | December Livestream,2022-12-17,5009,168,16,Dec
72,Converting Data Types in Python | Python for Beginners,2022-12-13,18467,557,22,Dec
73,Functions in Python | Python for Beginners,2022-12-06,22583,682,24,Dec
74,While Loops in Python | Python for Beginners,2022-11-29,19524,660,18,Nov
75,For Loops in Python | Python for Beginners,2022-11-22,22683,639,20,Nov
76,Data Analyst Q/A Livestream | November Livestream,2022-11-16,6222,202,18,Nov
77,If Else Statements in Python | Python for Beginners,2022-11-15,19987,642,22,Nov
78,"Comparison, Logical, and Membership Operators in Python | Python for Beginners",2022-11-08,21436,656,16,Nov
79,Data Types in Python | Python for Beginners,2022-11-01,40676,1133,48,Nov
80,Data Analyst Q/A Livestream | October Livestream,2022-10-31,5650,184,11,Oct
81,Variables in Python | Python for Beginners,2022-10-25,44284,1182,42,Oct
82,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,2022-10-19,5224,246,23,Oct
83,Installing Jupyter Notebooks/Anaconda | Python for Beginners,2022-10-18,133047,2515,95,Oct
84,Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,2022-10-13,9004,327,20,Oct
85,Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,2022-10-11,7007,324,31,Oct
86,When Best Friends Work Together (ft. Luke Barousse),2022-10-04,14852,667,84,Oct
87,Data Analyst Live Stream | Riding out Hurricane Ian,2022-10-01,6635,214,14,Oct
88,Full Power BI Guided Project | Microsoft Power BI for Beginners,2022-09-27,211833,4322,270,Sep
89,Popular Visualizations in Power BI | Microsoft Power BI for Beginners,2022-09-20,41176,1202,41,Sep
90,"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",2022-09-13,48588,1935,98,Sep
91,How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,2022-09-06,38485,1055,30,Sep
92,How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,2022-08-30,57990,1166,35,Aug
93,Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,2022-08-24,75006,2039,76,Aug
94,Interviewing Ken Jee | The Face of Data Science on YouTube,2022-08-23,6881,247,15,Aug
95,CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,2022-08-16,21641,557,109,Aug
96,How to use Drill Down in Power BI | Microsoft Power BI for Beginners,2022-08-09,72421,1489,54,Aug
97,"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",2022-08-02,17594,791,72,Aug
98,250k Subscriber Live Stream!!,2022-07-26,4155,158,11,Jul
99,How to use DAX in Power BI | Microsoft Power BI for Beginners,2022-07-26,73818,1791,86,Jul
100,Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,2022-07-19,21805,627,126,Jul
101,How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,2022-07-12,87801,1855,55,Jul
102,Machine Learning Specialization on Coursera | Review,2022-07-05,20209,680,59,Jul
103,Meta Marketing Analytics Professional Certificate on Coursera | Review,2022-06-28,28585,780,94,Jun
104,Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,2022-06-21,44764,1648,133,Jun
105,How to use Power Query in Power BI | Microsoft Power BI for Beginners,2022-06-14,125699,2450,62,Jun
106,Automating Crypto Website API Pull Using Python | Data Analyst Project,2022-06-07,38962,749,67,Jun
107,How to use a Public API | Using a Public API with Python,2022-05-31,21226,846,57,May
108,How to Install Power BI | Building First Visualization | Microsoft Power BI for Beginners,2022-05-24,181078,3696,188,May
109,MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,2022-05-17,102450,2259,257,May
110,Top 3 Tips to Stop Procrastinating to be Successful,2022-05-10,32745,1667,155,May
111,SQL vs NoSQL | What's the Difference?,2022-05-03,50720,1596,65,May
112,Database vs Data Warehouse vs Data Lake | What is the Difference?,2022-04-26,492894,13756,230,Apr
113,How I Manage My Time Working 60+ Hours Per Week | Alex The Analyst Show | Episode 22,2022-04-20,11587,324,161,Apr
114,200k Livestream! | Shaving | Puppies | Giveaway,2022-04-14,3165,134,11,Apr
115,Things I HATE About Being a Data Analyst,2022-04-12,33101,1404,194,Apr
116,Best Website to Practice Technical Interview Questions,2022-04-05,17137,635,55,Apr
117,Pros and Cons of Working Remote | Alex The Analyst Show | Episode 21,2022-03-29,6899,272,162,Mar
118,Full Project in Excel | Excel Tutorials for Beginners,2022-03-22,463106,10792,727,Mar
